neighbourhood_name,land_area,population, average_household_income , median_household_income 
Arbutus-Ridge,370.00,15295.00,124666.00,71008.00
Downtown,370.00,62030.00,96632.00,66583.00
Dunbar-Southlands,856.00,21425.00,172768.00,104450.00
Fairview,327.00,33620.00,93652.00,69337.00
Grandview-Woodland,445.00,29175.00,72585.00,55141.00
Hastings-Sunrise,793.00,34575.00,85430.00,68506.00
Kensington-Cedar Cottage,724.00,49325.00,86821.00,70815.00
Kerrisdale,631.00,13975.00,159794.00,75419.00
Killarney,664.00,29325.00,86302.00,71559.00
Kitsilano,546.00,43045.00,103076.00,72839.00
Marpole,559.00,24460.00,73490.00,53782.00
Mount Pleasant,366.00,32955.00,87054.00,66299.00
Oakridge,401.00,13030.00,100495.00,62988.00
Renfrew-Collingwood,805.00,51530.00,76941.00,64179.00
Riley Park,491.00,22555.00,110518.00,83513.00
Shaughnessy,446.00,8430.00,262760.00,111566.00
South Cambie,217.00,7970.00,130230.00,83111.00
Strathcona,388.00,12585.00,46368.00,21964.00
Sunset,626.00,36500.00,85835.00,68855.00
Victoria-Fraserview,531.00,31065.00,85722.00,68126.00
West End,198.00,47200.00,67432.00,51410.00
West Point Grey,445.00,13065.00,161576.00,84951.00
